item,topic01,topic02,topic03,topic04,primary_factor,facet,reverse,secondary_factor,facet,"reverse
",type1,type2,type3,WX,WX,NX,WY,WX,WX,WY,NY,WX,NX,WY,WY,NY,WX,NX,WY,WX,WY,NX,WX,WY,WY,WX,NY,WX,WY,WX,NY,WY,WX,NX,WX,WY,WX,WY,WX,NX,WY,WY,WX,NY,WX,WY,NX,WX,WY,WX,NY,NX,NY
Trying a new sport with a group of friends.,Play,Play,,,Openness,Willingness to Experiment,TRUE,Extraversion,Activity Level,TRUE,,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Doing psychedelic drugs with a group of close friends.,Play,Friends,,,Openness,Willingness to Experiment,TRUE,Openness,Intellectual Curiosity,TRUE,,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Doing psychedelic drugs with people you just met.,Play,Friends,,,Openness,Willingness to Experiment,TRUE,Agreeableness,Trust in others,TRUE,,,,0,0,-0.5,0.5,0,-1,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Writing poetry.,Personal,,,,Openness,Imagination,TRUE,Openness,Artistic Interests,TRUE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Writing fiction.,Personal,,,,Openness,Imagination,TRUE,Openness,Artistic Interests,TRUE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Debating the meaning of life.,Play,Friends,,,Openness,Intellectual Curiosity,TRUE,Extraversion,Assertiveness,TRUE,,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Looking up something you don't know or understand.,Personal,,,,Openness,Intellectual Curiosity,TRUE,Natural_Reactions,Self-Consciousness,FALSE,,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Talking about politics with your partner.,Love & Sex,,,,Openness,Intellectual Curiosity,TRUE,Conscientiousness,Sense of Responsibility,TRUE,Relationship,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Being open to new ways to do something.,Work,,,,Openness,Willingness to Experiment,FALSE,Natural_Reactions,Self-Consciousness,FALSE,,,,0,0,0.5,-0.5,0,0,-0.5,0,0,-0.5,-0.5,-0.5,0,0,0.5,-0.5,0,-0.5,-0.5,0,-0.5,-0.5,0,0,0,-0.5,0,0,-0.5,-0.5,0.5,0,-0.5,0,-0.5,0,0.5,-0.5,-0.5,0,-0.5,0,-0.5,0.5,0,-0.5,0,0,0.5,0
Looking up what experts say before making a decision.,Work,School,,,Openness,Tolerance for Diversity,FALSE,Agreeableness,Compliance,TRUE,Work,,,0,-0.5,0.5,-0.5,0,0,-0.5,0,0,0.5,-0.5,-0.5,0,0,-0.5,-0.5,0,-0.5,0.5,0,-0.5,-0.5,0,0,-0.5,-0.5,0,0,-0.5,0,0.5,0,-0.5,0,-0.5,-0.5,0.5,-0.5,-0.5,0,0,0,-0.5,-0.5,0,-0.5,0,0,-0.5,0
Attending a gay wedding for your cousin.,Love & Sex,Home & Family,Play,,Openness,Tolerance for Diversity,TRUE,Extraversion,Warmth,TRUE,Relationship,,,1,1,-0.5,0.5,0,1,0.5,0,1,-0.5,0.5,0.5,0,1,-0.5,0.5,1,0.5,-0.5,1,0.5,0.5,0,1,0,0.5,1,0,0.5,0,1,0,0.5,1,1,0,-0.5,1,0.5,1,0.5,0,0.5,1,0,0.5,0,0,-0.5,1
Making a speech at your birthday party.,Play,,,,Natural_Reactions,Self-Consciousness,FALSE,Extraversion,Activity Level,TRUE,,,,0,0,0,0.5,0,0,1,-0.5,0,1,-0.5,1,0.5,0,0,0.5,0,0.5,0,0,1,0.5,0,1,0,0.5,0,1,1,0,0.5,0,1,0,-0.5,0,0,0.5,1,0,1,0,0.5,0,1,-0.5,0,0.5,0,0
Accepting a sincere apology immediately.,Friends,,,,Natural_Reactions,Moodiness,FALSE,Extraversion,Warmth,TRUE,,,,-0.5,0.5,-0.5,-0.5,0.5,0,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,0.5,-0.5,-0.5,0.5,-0.5,0.5,0.5,-0.5,-1,0.5,-0.5,0.5,-0.5,-1,0.5,0.5,-1,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,-0.5,0.5,0.5,-0.5,0.5,-0.5,-1,-0.5,-0.5,0.5,-0.5,0.5,-0.5,1
Accepting a half-hearted apology.,Friends,,,,Natural_Reactions,Moodiness,FALSE,Extraversion,Warmth,TRUE,,,,-1,0,-1,-1,0,0,-0.5,-1,-1,-1,-1,-1,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1,-1,-0.5,0.5,-0.5,-1,-1,-0.5,-0.5,-1,-1,-0.5,-1,-0.5,-1,-0.5,-1,-1,-0.5,-0.5,-1,-0.5,-0.5,-1,-1,-0.5,-0.5,-1,-1,-1,-1
Making sure to invite everyone to a party so you don't hurt their feelings.,Friends,Play,,,Conscientiousness,Sense of Responsibility,TRUE,Agreeableness,Sympathy,TRUE,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1
Avoiding your friends to get some alone time.,Friends,,,,Natural_Reactions,Moodiness,TRUE,Extraversion,Gregariousness,FALSE,,,,0.5,0.5,0.5,-1,0.5,0.5,-1,-1,0.5,0.5,-1,-1,-1,0.5,0.5,-1,0.5,-1,0.5,0.5,-1,-1,0.5,-1,0.5,-1,0.5,-1,-1,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,-1,-1,0.5,-1,0.5,-1,0.5,0.5,-1,0.5,-1,0.5,-1
Drinking because you're feeling stressed or anxious.,Food & Drink,Work,,,Natural_Reactions,Moodiness,TRUE,Natural_Reactions,Sensitivity to Stress,TRUE,Work,Substances,,0.5,0.5,0.5,-1,0.5,0.5,-1,-1,0.5,0.5,-1,-1,-1,0.5,0.5,-1,0.5,-1,0.5,0.5,-1,-1,0.5,-1,0.5,-1,0.5,-1,-1,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,-1,-1,0.5,-1,0.5,-1,0.5,0.5,-1,0.5,-1,0.5,-1
Looking for a new job as soon as you lose your old one.,Work,Money,,,Conscientiousness,Achievement Striving,TRUE,Natural_Reactions,Sensitivity to Stress,TRUE,Work,,,0,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5
Taking time off between jobs to do something like travel.,Work,,,,Conscientiousness,Achievement Striving,FALSE,Natural_Reactions,Sensitivity to Stress,FALSE,Work,,,0.5,0.5,-1,-0.5,0.5,0,-0.5,-1,0.5,-0.5,-1,-0.5,-0.5,0.5,-0.5,-0.5,0.5,-1,-0.5,0.5,-1,-0.5,0.5,-1,0.5,-1,-1,-0.5,-0.5,0.5,-0.5,0.5,-1,0.5,-1,0.5,-0.5,-0.5,-0.5,0.5,-1,-1,-0.5,-0.5,-1,-0.5,0.5,-0.5,-1,-1
Keeping calm in an emergency.,In Public,Play,,,Natural_Reactions,Sensitivity to Stress,FALSE,Extraversion,Assertiveness,TRUE,,,,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5
Acting fast in an emergency.,In Public,,,,Extraversion,Assertiveness,TRUE,Natural_Reactions,Sensitivity to Stress,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Giving a stranger CPR to save their life.,In Public,Food & Drink,,,Extraversion,Assertiveness,TRUE,Natural_Reactions,Sensitivity to Stress,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Stepping in to stop kids from bullying a younger kid.,In Public,,,,Agreeableness,Altruism,TRUE,Extraversion,Assertiveness,TRUE,Parental,,,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
Saying something when you hear kids bullying in class.,In Public,,,,Agreeableness,Altruism,TRUE,Extraversion,Assertiveness,TRUE,School,,,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
"Texting ""we need to talk"" when you want to break up.",Love & Sex,Internet Etc,,,Natural_Reactions,Anxiety,TRUE,Agreeableness,Sympathy,TRUE,Relationship,,,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,-1,0,-1,0,-1,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,-1,0,-1,0,0,-1,-0.5,-1,0,-1
Getting into a fist fight when you're drunk.,In Public,Food & Drink,,,Natural_Reactions,Expressing Hostility,TRUE,Extraversion,Assertiveness,TRUE,Substances,,,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-0.5,0,-1,-0.5,-1,-0.5,-1,0,-0.5,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,0.5,-0.5
Getting into arguments when you're drunk.,In Public,Food & Drink,,,Natural_Reactions,Expressing Hostility,TRUE,Extraversion,Assertiveness,TRUE,Substances,,,-0.5,0,0,-0.5,0,-0.5,0,0,0,-0.5,0,-0.5,-0.5,0,0,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,-0.5,-0.5,0,0,0,0,-0.5,-0.5,-0.5,0,0,-0.5,0,-0.5,-1,-0.5,0,0,-0.5,-0.5,-1,0,0,-1
Cheating on your girlfriend or boyfriend while drunk.,Love & Sex,Play,Food & Drink,,Agreeableness,Sincerity,FALSE,Conscientiousness,Self-Discipline,FALSE,Relationship,Substances,,-1,-1,-0.5,-0.5,-1,-1,0,0.5,-0.5,0,0,0,0,-1,0.5,0.5,-0.5,0,0,-1,0,0,-1,0,-1,0.5,-0.5,0,0,-1,0,-1,0,-1,0,-1,0.5,0.5,0.5,-1,0,-1,0,0,-1,0,-1,0,0,0.5
Cheating on your girlfriend or boyfriend while sober.,Love & Sex,Play,Food & Drink,,Agreeableness,Sincerity,FALSE,Conscientiousness,Self-Discipline,FALSE,Relationship,,,-1,-1,-1,-0.5,-1,-1,-1,-0.5,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.5,-1,-0.5,-1,-1,-1,-0.5,-1,-0.5,-1,-1,-1,-0.5,-1,-1,-1,-0.5,-1,-1,-1,-1,-1,-0.5,-0.5
Lying when you're caught cheating on your girlfriend or boyfriend.,Love & Sex,,,,Agreeableness,Sincerity,FALSE,Natural_Reactions,Anxiety,TRUE,Relationship,,,-1,-1,-1,-0.5,-1,-1,0,-0.5,-1,-1,-0.5,-0.5,0,-1,-1,-0.5,-1,0.5,-1,0.5,-0.5,0.5,-1,-0.5,-1,0.5,-1,0.5,-0.5,-1,0.5,-1,-0.5,-1,-0.5,0.5,-1,-0.5,-0.5,-1,0,-1,-0.5,-0.5,-1,-0.5,-1,-0.5,-0.5,0
Knowing when to stop drinking.,Habits,Food & Drink,,,Natural_Reactions,Self-Indulgence,FALSE,Conscientiousness,Self-Discipline,TRUE,Substances,,,-0.5,0,-0.5,0.5,-0.5,0,1,0.5,0,-0.5,1,0.5,0.5,-0.5,-0.5,0.5,0,1,-0.5,-0.5,0.5,0,-0.5,1,-0.5,0.5,0,0.5,1,-0.5,-0.5,-0.5,1,-0.5,1,-0.5,-0.5,0.5,1,-0.5,1,-0.5,0,0,-0.5,0.5,-0.5,0.5,-0.5,1
Calling 911 when you see an accident on the highway.,In Public,In Public,,,Conscientiousness,Sense of Responsibility,TRUE,Extraversion,Assertiveness,TRUE,Ethical,,,-0.5,-0.5,0.5,0.5,-0.5,-0.5,0.5,1,-0.5,0.5,0.5,0.5,1,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,1,-0.5,0.5,-0.5,1,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,1,-0.5,0.5,0.5,-0.5,0.5,-0.5,1,0,1
Keeping your cool when you mess up at work.,Work,,,,Natural_Reactions,Sensitivity to Stress,FALSE,Conscientiousness,Sense of Competence,TRUE,Work,,,0,0.5,0,0.5,0,0.5,1,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0,1,0.5,0,1,0.5,0,1,0,0.5,0.5,0.5,1,0,0,0,0.5,0.5,0.5,0,0,1,0.5,0.5,1,0,0.5,0.5,0,0.5,0,1,0.5,1
Feeling anxious the first time you have sex with a new person.,Love & Sex,,,,Natural_Reactions,Sensitivity to Stress,TRUE,Agreeableness,Trust in others,FALSE,Relationship,Trust,,0,0,0,-0.5,0,0,-0.5,-0.5,0,0,-0.5,-0.5,-0.5,0,0,-0.5,0,-0.5,0.5,0,-0.5,-0.5,0,-0.5,0,-0.5,0,-0.5,-0.5,0,0,0,-0.5,0,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-0.5,0,0,-0.5,0,-0.5,0,-0.5
Playing games like 20 Questions on a road trip.,Play,Friends,,,Openness,Imagination,TRUE,Extraversion,Activity Level,TRUE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,-0.5,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,-0.5,-0.5
Getting excited about a new idea your friend has for a business.,Friends,Work,,,Extraversion,Positive Emotions,TRUE,Agreeableness,Trust in others,TRUE,Work,,,1,1,0.5,0.5,1,1,0.5,0,1,0.5,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0,1,0.5,1,0,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0,1,0,0.5,1,0.5,1,0,0,0
Feeling content with your life.,Play,Play,Friends,,Natural_Reactions,Moodiness,FALSE,Extraversion,Excitement-Seeking,TRUE,,,,-0.5,-0.5,-0.5,1,-1,-0.5,1,1,-0.5,-0.5,1,1,1,-0.5,-0.5,1,-0.5,1,-0.5,-0.5,1,1,-0.5,1,-0.5,1,-0.5,1,1,-0.5,-0.5,-0.5,1,-0.5,1,-0.5,-0.5,1,1,-0.5,1,-0.5,0.5,-0.5,-0.5,1,-0.5,1,0,1
Compromising with your partner.,Love & Sex,,,,Natural_Reactions,Moodiness,FALSE,Conscientiousness,Achievement Striving,TRUE,Relationship,,,0.5,0,-0.5,1,-0.5,0,1,0.5,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0.5,1,0.5,1,-0.5,1,0.5,-0.5,1,1,1,0.5,1,-0.5,1,1,1,1,1,-0.5,0.5,0.5,1,1,-0.5,1,0,1
Cursing or using foul language when talking with your friends.,Friends,,,,Agreeableness,Modesty,FALSE,Openness,Tolerance for Diversity,TRUE,,,,-0.5,0.5,-0.5,0.5,0.5,0,0.5,0.5,-0.5,-0.5,1,0.5,0.5,-1,-0.5,0.5,-0.5,1,-0.5,-1,1,0.5,-1,0.5,-0.5,1,-0.5,0.5,0.5,-1,-0.5,-0.5,0.5,-0.5,0.5,-0.5,-1,1,0.5,-0.5,1,-0.5,0.5,-1,-0.5,1,-0.5,0.5,-0.5,1
Letting yourself feel sad instead of trying to hide it with distractions.,Personal,In Public,,,Openness,Depth of Emotions,FALSE,Natural_Reactions,Moodiness,FALSE,,,,1,0.5,0,-0.5,-1,-0.5,0,-1,-1,0,-0.5,0,-0.5,-0.5,0,0,0.5,-0.5,0,-0.5,0.5,0,-0.5,0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,0,-0.5,0,1,0,-0.5,1,-0.5,0.5,-0.5,-0.5,0,-0.5,0,1,-0.5,0,-0.5
Wanting to paint your room bright and vibrant colors.,Home & Family,,,,Openness,Imagination,TRUE,Openness,Artistic Interests,TRUE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,-0.5,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,-0.5,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Letting others have their way because it's not worth the fight.,Friends,In Public,,,Agreeableness,Compliance,TRUE,Natural_Reactions,Expressing Hostility,FALSE,,,,0.5,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0.5,-0.5,0.5,0,0.5,0
Spell-checking your emails.,Internet Etc,,,,Conscientiousness,Orderliness,TRUE,Natural_Reactions,Self-Consciousness,TRUE,,,,1,1,0.5,0.5,1,1,0,0.5,1,0.5,0.5,0,0,1,0,0.5,1,-0.5,1,1,-0.5,0,0.5,1,1,0.5,0,0.5,0,0.5,0.5,1,0,1,0.5,0.5,0.5,0.5,0,0.5,-0.5,0,0.5,1,1,0,1,0,1,0
,,,,,,,TRUE,,,TRUE,,,,12,15,-10,21.5,13,9.5,21,-5.5,14.5,-6.5,17,15,-1.5,14,-9.5,19.5,14.5,22.5,-9,15.5,19,18.5,12,-1,13.5,23,19,-3.5,20.5,10,-4.5,13.5,22,13,16,14.5,-7,18.5,21.5,13,-6,11,15.5,-7.5,13.5,16.5,14.5,-8,-9.5,-4.5
